Receipt Item Detail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabang : All Branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alamat : -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staff : All Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode : 01/01/2025 - 31/01/2025 00:00 - 23:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. Receipt;Reff No.;Transaction Date;Store;Order Type;Cashier;Customer;Payment Type;Type;Repayment Date;Table No.;Settlement No.;Item Name;Category;Sub Category;Modifier;Qty;Unit Price;Item Sales;Discount Item;Discount Bill;Amount Redeem;Net Sales;Service Persen;Service;Delivery;Tax Persen;Tax;Comm Fee;Gratuity;Rounding;DP Pemesanan;Total;Company Name;Telepon;Telepon WA;Email;Alamat;No. Rekening;Nama Pemilik Rekening;Bill Counter
0010100002;121690010102012515055400002;2025-01-02 15:05:54;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;BLACK TEA;TEA;;;1; 15.000 ; 15.000 ; 0 ; 0 ; 0 ; 15.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 15.000 ;Neo Station;;;;;;;-
0010100003;121690010102012516015700003;2025-01-02 16:01:57;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100004;121690010102012516091700004;2025-01-02 16:09:17;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;SPAGHETTI AGLIO OLIO;PASTA;;;1; 32.000 ; 32.000 ; 0 ; 0 ; 0 ; 32.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 32.000 ;Neo Station;;;;;;;-
0010100004;121690010102012516091700004;2025-01-02 16:09:17;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;LYCHEE TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100005;121690010102012516110200005;2025-01-02 16:11:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;SPAGHETTI AGLIO OLIO;PASTA;;;1; 32.000 ; 32.000 ; 0 ; 0 ; 0 ; 32.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 32.000 ;Neo Station;;;;;;;-
0010100005;121690010102012516110200005;2025-01-02 16:11:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100005;121690010102012516110200005;2025-01-02 16:11:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100006;121690010102012516152100006;2025-01-02 16:15:21;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100007;121690010102012516312600007;2025-01-02 16:31:26;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100008;121690010102012516385100008;2025-01-02 16:38:51;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100009;121690010102012517034000009;2025-01-02 17:03:40;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;VIETNAM DRIP;COFFEE;;;2; 24.000 ; 48.000 ; 0 ; 0 ; 0 ; 48.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 48.000 ;Neo Station;;;;;;;-
0010100010;121690010102012517060500010;2025-01-02 17:06:05;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;NASI BANGSAWAN;MAIN COURSE ASIAN;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100012;121690010102012517383700012;2025-01-02 17:38:37;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100011;121690010102012517091000011;2025-01-02 17:45:37;NEO STATION;DINE IN;OCES;aagung  ;QR MANDIRI;Sale;;80;25-0004;NASI BANGSAWAN;MAIN COURSE ASIAN;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100013;121690010102012518064500013;2025-01-02 18:06:45;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100013;121690010102012518064500013;2025-01-02 18:06:45;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;GREENTEA LATTE;NON COFFEE;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100014;121690010102012518081500014;2025-01-02 18:08:15;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;CARAMEL CREAM BRULEE;COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100014;121690010102012518081500014;2025-01-02 18:08:15;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;Lotus Biscoff;Cookies;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100015;121690010102012518094000015;2025-01-02 18:09:40;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100016;121690010102012518112000016;2025-01-02 18:11:20;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;MANGO NOON;HEALTHY  SMOOTHIE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100016;121690010102012518112000016;2025-01-02 18:11:20;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100017;121690010102012518244600017;2025-01-02 18:24:46;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;NASI BANGSAWAN;MAIN COURSE ASIAN;;;2; 20.000 ; 40.000 ; 0 ; 0 ; 0 ; 40.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 40.000 ;Neo Station;;;;;;;-
0010100018;121690010102012518255200018;2025-01-02 18:25:52;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;CHICKEN KARAGE;TOPPING;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100018;121690010102012518255200018;2025-01-02 18:25:52;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100019;121690010102012518451700019;2025-01-02 18:45:17;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0004;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;NASI BANGSAWAN;MAIN COURSE ASIAN;;;9; 20.000 ; 180.000 ; 0 ; 0 ; 0 ; 180.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 180.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;14; 25.000 ; 350.000 ; 0 ; 0 ; 0 ; 350.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 350.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;AMERICANO;COFFEE;;;7; 24.000 ; 168.000 ; 0 ; 0 ; 0 ; 168.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 168.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;BEEF TERIYAKI;MAIN COURSE ASIAN;;;1; 37.000 ; 37.000 ; 0 ; 0 ; 0 ; 37.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 37.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;Salted Creamy Coffee;Coffee Signature;;;2; 25.000 ; 50.000 ; 0 ; 0 ; 0 ; 50.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 50.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;Baileys Creamy;Coffee Signature;;;2; 28.000 ; 56.000 ; 0 ; 0 ; 0 ; 56.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 56.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;CAPPUCCINO;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;Baileys Coffee;Coffee Signature;;;6; 30.000 ; 180.000 ; 0 ; 0 ; 0 ; 180.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 180.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;NASI BANGSAWAN;MAIN COURSE ASIAN;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;Double Choco;Cookies;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100020;121690010102012519360400020;2025-01-02 19:36:04;NEO STATION;DINE IN;OCES;a ejong;cash;Sale;;meja ejong;25-0004;Sweet Ice Tea;TEA;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
