Receipt Item Detail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabang : All Branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alamat : -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staff : All Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode : 01/01/2025 - 31/01/2025 00:00 - 23:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. Receipt;Reff No.;Transaction Date;Store;Order Type;Cashier;Customer;Payment Type;Type;Repayment Date;Table No.;Settlement No.;Item Name;Category;Sub Category;Modifier;Qty;Unit Price;Item Sales;Discount Item;Discount Bill;Amount Redeem;Net Sales;Service Persen;Service;Delivery;Tax Persen;Tax;Comm Fee;Gratuity;Rounding;DP Pemesanan;Total;Company Name;Telepon;Telepon WA;Email;Alamat;No. Rekening;Nama Pemilik Rekening;Bill Counter
0010100007;121690010118012513573100007;2025-01-18 13:57:31;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0036;Matcha White Choco;Cookies;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100008;121690010118012514104900008;2025-01-18 14:10:49;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;LYCHEE TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100008;121690010118012514104900008;2025-01-18 14:10:49;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;MINERAL WATER;ADDITIONIONAL BAR;;;2; 3.000 ; 6.000 ; 0 ; 0 ; 0 ; 6.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6.000 ;Neo Station;;;;;;;-
0010100009;121690010118012514113900009;2025-01-18 14:11:39;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0036;LYCHEE TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100010;121690010118012514132900010;2025-01-18 14:13:29;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;Honey Drew;HEALTHY  SMOOTHIE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100010;121690010118012514132900010;2025-01-18 14:13:29;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;Double Choco;Cookies;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100010;121690010118012514132900010;2025-01-18 14:13:29;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100011;121690010118012514151200011;2025-01-18 14:15:12;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;RED VELVET LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100012;121690010118012514161000012;2025-01-18 14:16:10;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100013;121690010118012514171000013;2025-01-18 14:17:10;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0036;poetry sunset;SPARKLING SERIES;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100013;121690010118012514171000013;2025-01-18 14:17:10;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0036;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100014;121690010118012514190900014;2025-01-18 14:19:09;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100014;121690010118012514190900014;2025-01-18 14:19:09;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;PEACH TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100015;121690010118012514204500015;2025-01-18 14:20:45;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;LYCHEE TEA;TEA;;;2; 23.000 ; 46.000 ; 0 ; 0 ; 0 ; 46.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 46.000 ;Neo Station;;;;;;;-
0010100016;121690010118012514282200016;2025-01-18 14:28:22;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100017;121690010118012514334400017;2025-01-18 14:33:44;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100017;121690010118012514334400017;2025-01-18 14:33:44;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100017;121690010118012514334400017;2025-01-18 14:33:44;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;CHICKEN TERIYAKI;MAIN COURSE ASIAN;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100018;121690010118012515052800018;2025-01-18 15:05:28;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;SPAGHETTI CARBONARA;PASTA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100018;121690010118012515052800018;2025-01-18 15:05:28;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100019;121690010118012515072600019;2025-01-18 15:07:26;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;CHICKEN TERIYAKI;MAIN COURSE ASIAN;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100019;121690010118012515072600019;2025-01-18 15:07:26;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0036;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100020;121690010118012515274000020;2025-01-18 15:27:40;NEO STATION;DINE IN;OCES;haris;cash;Sale;;;25-0036;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100001;121690010118012516014500001;2025-01-18 16:01:45;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;MARIE ISLAND;NON COFFEE;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100001;121690010118012516014500001;2025-01-18 16:01:45;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;NASI TIMBEL;NUSANTARA;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100003;121690010118012513041800003;2025-01-18 16:17:02;NEO STATION;DINE IN;DHIKA;rudi;debit;Sale;;tamu 11;25-0037;Honey Drew;HEALTHY  SMOOTHIE;;;3; 28.000 ; 84.000 ; 0 ; 0 ; 0 ; 84.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 84.000 ;Neo Station;;;;;;;-
0010100003;121690010118012513041800003;2025-01-18 16:17:02;NEO STATION;DINE IN;DHIKA;rudi;debit;Sale;;tamu 11;25-0037;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100003;121690010118012513041800003;2025-01-18 16:17:02;NEO STATION;DINE IN;DHIKA;rudi;debit;Sale;;tamu 11;25-0037;CARAMEL CREAM BRULEE;COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100003;121690010118012513041800003;2025-01-18 16:17:02;NEO STATION;DINE IN;DHIKA;rudi;debit;Sale;;tamu 11;25-0037;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100003;121690010118012513041800003;2025-01-18 16:17:02;NEO STATION;DINE IN;DHIKA;rudi;debit;Sale;;tamu 11;25-0037;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100002;121690010118012516190600002;2025-01-18 16:19:06;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100003;121690010118012516220700003;2025-01-18 16:22:07;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100004;121690010118012516255600004;2025-01-18 16:25:56;NEO STATION;DINE IN;DHIKA;yara;QR MANDIRI;Sale;;;25-0037;Double Choco;Cookies;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100005;121690010118012516295000005;2025-01-18 16:29:50;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100007;121690010118012516452800007;2025-01-18 16:45:28;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100007;121690010118012516452800007;2025-01-18 16:45:28;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;MIX PLATTER;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;SOTO BANDUNG;NUSANTARA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;2; 25.000 ; 50.000 ; 0 ; 0 ; 0 ; 50.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 50.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;MIX PLATTER;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;LEMON TEA;TEA;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;STAR SYNDROME;NON COFFEE;;;1; 27.000 ; 27.000 ; 0 ; 0 ; 0 ; 27.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 27.000 ;Neo Station;;;;;;;-
0010100006;121690010118012516394800006;2025-01-18 16:56:44;NEO STATION;DINE IN;DHIKA;Intan;QR MANDIRI;Sale;;tamu 4;25-0037;SPAGHETTI AGLIO OLIO;PASTA;;;1; 32.000 ; 32.000 ; 0 ; 0 ; 0 ; 32.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 32.000 ;Neo Station;;;;;;;-
0010100005;121690010118012513204900005;2025-01-18 17:01:45;NEO STATION;DINE IN;DHIKA;naura;QR MANDIRI;Sale;;tamu 12;25-0037;LEMON TEA;TEA;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100005;121690010118012513204900005;2025-01-18 17:01:45;NEO STATION;DINE IN;DHIKA;naura;QR MANDIRI;Sale;;tamu 12;25-0037;BEEF DONBURI;MAIN COURSE ASIAN;;;1; 37.000 ; 37.000 ; 0 ; 0 ; 0 ; 37.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 37.000 ;Neo Station;;;;;;;-
0010100009;121690010118012517295500009;2025-01-18 17:29:55;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;Kopi Sultan;COFFEE;;;1; 15.000 ; 15.000 ; 0 ; 0 ; 0 ; 15.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 15.000 ;Neo Station;;;;;;;-
0010100012;121690010118012520071200012;2025-01-18 20:07:12;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100012;121690010118012520071200012;2025-01-18 20:07:12;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;Lemon;ADDITIONIONAL BAR;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100011;121690010118012518594600011;2025-01-18 20:57:49;NEO STATION;DINE IN;DHIKA;Cahya;cash;Sale;;tamu 4;25-0037;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100011;121690010118012518594600011;2025-01-18 20:57:49;NEO STATION;DINE IN;DHIKA;Cahya;cash;Sale;;tamu 4;25-0037;TUBRUK COFFEE;COFFEE;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100011;121690010118012518594600011;2025-01-18 20:57:49;NEO STATION;DINE IN;DHIKA;Cahya;cash;Sale;;tamu 4;25-0037;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100011;121690010118012518594600011;2025-01-18 20:57:49;NEO STATION;DINE IN;DHIKA;Cahya;cash;Sale;;tamu 4;25-0037;MINERAL WATER;ADDITIONIONAL BAR;;;2; 3.000 ; 6.000 ; 0 ; 0 ; 0 ; 6.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6.000 ;Neo Station;;;;;;;-
0010100013;121690010118012521090600013;2025-01-18 21:09:06;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100015;121690010118012521443600015;2025-01-18 21:44:36;NEO STATION;DINE IN;DHIKA;pa aldy;cash;Sale;;4;25-0037;SOTO BANDUNG;NUSANTARA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100015;121690010118012521443600015;2025-01-18 21:44:36;NEO STATION;DINE IN;DHIKA;pa aldy;cash;Sale;;4;25-0037;BEEF TERIYAKI;MAIN COURSE ASIAN;;;1; 37.000 ; 37.000 ; 0 ; 0 ; 0 ; 37.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 37.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;SOTO BANDUNG;NUSANTARA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;tropical day;SPARKLING SERIES;;;3; 26.000 ; 78.000 ; 0 ; 0 ; 0 ; 78.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 78.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;Lemon;ADDITIONIONAL BAR;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;Sweet Ice Tea;TEA;;;2; 18.000 ; 36.000 ; 0 ; 0 ; 0 ; 36.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 36.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;SPAGHETTI AGLIO OLIO;PASTA;;;1; 32.000 ; 32.000 ; 0 ; 0 ; 0 ; 32.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 32.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100008;121690010118012516593300008;2025-01-18 22:55:35;NEO STATION;DINE IN;DHIKA;intan;debit;Sale;;tamu 1;25-0037;Sweet Tea;TEA;;;1; 15.000 ; 15.000 ; 0 ; 0 ; 0 ; 15.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 15.000 ;Neo Station;;;;;;;-
0010100016;121690010118012523043200016;2025-01-18 23:04:32;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100016;121690010118012523043200016;2025-01-18 23:04:32;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0037;Lemon;ADDITIONIONAL BAR;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100017;121690010118012523443800017;2025-01-18 23:44:38;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;Baileys Coffee;Coffee Signature;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100018;121690010118012523480600018;2025-01-18 23:48:06;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0037;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100001;121690010119012509351700001;2025-01-19 09:35:45;NEO STATION;DINE IN;OCES;;cash;Sale;;tamu 12;25-0038;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
